row,column,cor,p
Otu000090,Otu000127,1,0
Otu000123,Otu000173,1,0
Otu000152,Otu000175,1,0
Otu000090,Otu000217,1,0
Otu000127,Otu000217,1,0
Otu000123,Otu000235,1,0
Otu000173,Otu000235,1,0
Otu000086,Otu000239,1,0
Otu000177,Otu000241,1,0
Otu000177,Otu000260,1,0
Otu000241,Otu000260,1,0
Otu000209,Otu000266,1,0
Otu000086,Otu000285,1,0
Otu000239,Otu000285,1,0
Otu000328,Otu000361,1,0
Otu000185,Otu000362,1,0
Otu000152,Otu000363,1,0
Otu000175,Otu000363,1,0
Otu000152,Otu000364,1,0
Otu000175,Otu000364,1,0
Otu000363,Otu000364,1,0
Otu000162,Otu000391,1,0
Otu000195,Otu000393,1,0
Otu000328,Otu000395,1,0
Otu000361,Otu000395,1,0
Otu000274,Otu000404,1,0
Otu000306,Otu000405,1,0
Otu000152,Otu000406,1,0
Otu000175,Otu000406,1,0
Otu000363,Otu000406,1,0
Otu000364,Otu000406,1,0
Otu000195,Otu000423,1,0
Otu000393,Otu000423,1,0
Otu000274,Otu000448,1,0
Otu000404,Otu000448,1,0
Otu000376,Otu000452,1,0
Otu000274,Otu000463,1,0
Otu000404,Otu000463,1,0
Otu000448,Otu000463,1,0
Otu000376,Otu000472,1,0
Otu000452,Otu000472,1,0
Otu000290,Otu000476,1,0
Otu000445,Otu000481,1,0
Otu000412,Otu000494,1,0
Otu000473,Otu000497,1,0
Otu000376,Otu000503,1,0
Otu000452,Otu000503,1,0
Otu000472,Otu000503,1,0
Otu000177,Otu000511,1,0
Otu000241,Otu000511,1,0
Otu000260,Otu000511,1,0
Otu000403,Otu000514,1,0
Otu000316,Otu000525,1,0
Otu000376,Otu000546,1,0
Otu000452,Otu000546,1,0
Otu000472,Otu000546,1,0
Otu000503,Otu000546,1,0
Otu000316,Otu000547,1,0
Otu000525,Otu000547,1,0
Otu000274,Otu000549,1,0
Otu000404,Otu000549,1,0
Otu000448,Otu000549,1,0
Otu000463,Otu000549,1,0
Otu000199,Otu000561,1,0
Otu000376,Otu000564,1,0
Otu000452,Otu000564,1,0
Otu000472,Otu000564,1,0
Otu000503,Otu000564,1,0
Otu000546,Otu000564,1,0
Otu000513,Otu000567,1,0
Otu000090,Otu000572,1,0
Otu000127,Otu000572,1,0
Otu000217,Otu000572,1,0
Otu000376,Otu000573,1,0
Otu000452,Otu000573,1,0
Otu000472,Otu000573,1,0
Otu000503,Otu000573,1,0
Otu000546,Otu000573,1,0
Otu000564,Otu000573,1,0
Otu000445,Otu000574,1,0
Otu000481,Otu000574,1,0
Otu000202,Otu000590,1,0
Otu000466,Otu000591,1,0
Otu000202,Otu000592,1,0
Otu000590,Otu000592,1,0
Otu000371,Otu000593,1,0
Otu000316,Otu000599,1,0
Otu000525,Otu000599,1,0
Otu000547,Otu000599,1,0
